movies,years,ratings,links,times,genre,directors,directors_webpage,recommender_movies
The Shawshank Redemption,1994,9.2,https://www.imdb.com//title/tt0111161/,2h 22m,Drama,Frank Darabont,https://www.imdb.com/name/nm0001104/?ref_=tt_ov_dr,"['The Green Mile', 'The Walking Dead', 'The Mist']"
The Godfather,1972,9.2,https://www.imdb.com//title/tt0068646/,2h 55m,Crime,Francis Ford Coppola,https://www.imdb.com/name/nm0000338/?ref_=tt_ov_dr,"['The Conversation', 'The Godfather Part II', 'The Godfather']"
The Dark Knight,2008,9.0,https://www.imdb.com//title/tt0468569/,2h 32m,Action,Christopher Nolan,https://www.imdb.com/name/nm0634240/?ref_=tt_ov_dr,"['Inception', 'Interstellar', 'Dunkirk']"
The Godfather Part II,1974,9.0,https://www.imdb.com//title/tt0071562/,3h 22m,Crime,Francis Ford Coppola,https://www.imdb.com/name/nm0000338/?ref_=tt_ov_dr,"['The Conversation', 'The Godfather Part II', 'The Godfather']"
12 Angry Men,1957,8.9,https://www.imdb.com//title/tt0050083/,1h 36m,Crime,Sidney Lumet,https://www.imdb.com/name/nm0001486/?ref_=tt_ov_dr,"[""Before the Devil Knows You're Dead"", 'Dog Day Afternoon', 'Serpico']"
Schindler's List,1993,8.9,https://www.imdb.com//title/tt0108052/,3h 15m,Biography,Steven Spielberg,https://www.imdb.com/name/nm0000229/?ref_=tt_ov_dr,"['E.T. the Extra-Terrestrial', 'Saving Private Ryan', 'Raiders of the Lost Ark']"
The Lord of the Rings: The Return of the King,2003,8.9,https://www.imdb.com//title/tt0167260/,3h 21m,Action,Peter Jackson,https://www.imdb.com/name/nm0001392/?ref_=tt_ov_dr,"['Bad Taste', 'King Kong', 'The Lord of the Rings: The Two Towers']"
Pulp Fiction,1994,8.9,https://www.imdb.com//title/tt0110912/,2h 34m,Crime,Quentin Tarantino,https://www.imdb.com/name/nm0000233/?ref_=tt_ov_dr,"['Pulp Fiction', 'Once Upon a Time in... Hollywood', 'The Hateful Eight']"
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,https://www.imdb.com//title/tt0120737/,2h 58m,Action,Peter Jackson,https://www.imdb.com/name/nm0001392/?ref_=tt_ov_dr,"['Bad Taste', 'King Kong', 'The Lord of the Rings: The Two Towers']"
"Il buono, il brutto, il cattivo",1966,8.8,https://www.imdb.com//title/tt0060196/,2h 41m,Adventure,Sergio Leone,https://www.imdb.com/name/nm0001466/?ref_=tt_ov_dr,"['Giù la testa', 'Il buono, il brutto, il cattivo', 'Per un pugno di dollari']"
