movies,years,ratings,links,times,genre
The Shawshank Redemption,1994,9.2,https://www.imdb.com//title/tt0111161/,2h 22m,Drama
The Godfather,1972,9.2,https://www.imdb.com//title/tt0068646/,2h 55m,Crime
The Dark Knight,2008,9.0,https://www.imdb.com//title/tt0468569/,2h 32m,Action
The Godfather Part II,1974,9.0,https://www.imdb.com//title/tt0071562/,3h 22m,Crime
12 Angry Men,1957,8.9,https://www.imdb.com//title/tt0050083/,1h 36m,Crime
Schindler's List,1993,8.9,https://www.imdb.com//title/tt0108052/,3h 15m,Biography
The Lord of the Rings: The Return of the King,2003,8.9,https://www.imdb.com//title/tt0167260/,3h 21m,Action
Pulp Fiction,1994,8.9,https://www.imdb.com//title/tt0110912/,2h 34m,Crime
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,https://www.imdb.com//title/tt0120737/,2h 58m,Action
"Il buono, il brutto, il cattivo",1966,8.8,https://www.imdb.com//title/tt0060196/,2h 41m,Adventure
Forrest Gump,1994,8.8,https://www.imdb.com//title/tt0109830/,2h 22m,Drama
Fight Club,1999,8.8,https://www.imdb.com//title/tt0137523/,2h 19m,Drama
Inception,2010,8.7,https://www.imdb.com//title/tt1375666/,2h 28m,Action
The Lord of the Rings: The Two Towers,2002,8.7,https://www.imdb.com//title/tt0167261/,2h 59m,Action
The Empire Strikes Back,1980,8.7,https://www.imdb.com//title/tt0080684/,2h 4m,Action
The Matrix,1999,8.7,https://www.imdb.com//title/tt0133093/,2h 16m,Action
Goodfellas,1990,8.7,https://www.imdb.com//title/tt0099685/,2h 25m,Biography
One Flew Over the Cuckoo's Nest,1975,8.6,https://www.imdb.com//title/tt0073486/,2h 13m,Drama
Se7en,1995,8.6,https://www.imdb.com//title/tt0114369/,2h 7m,Crime
Shichinin no samurai,1954,8.6,https://www.imdb.com//title/tt0047478/,3h 27m,Action
It's a Wonderful Life,1946,8.6,https://www.imdb.com//title/tt0038650/,2h 10m,Drama
The Silence of the Lambs,1991,8.6,https://www.imdb.com//title/tt0102926/,1h 58m,Crime
Cidade de Deus,2002,8.6,https://www.imdb.com//title/tt0317248/,2h 10m,Crime
Saving Private Ryan,1998,8.6,https://www.imdb.com//title/tt0120815/,2h 49m,Drama
La vita è bella,1997,8.6,https://www.imdb.com//title/tt0118799/,1h 56m,Comedy
The Green Mile,1999,8.6,https://www.imdb.com//title/tt0120689/,3h 9m,Crime
Interstellar,2014,8.6,https://www.imdb.com//title/tt0816692/,2h 49m,Adventure
Star Wars,1977,8.6,https://www.imdb.com//title/tt0076759/,2h 1m,Action
Terminator 2: Judgment Day,1991,8.5,https://www.imdb.com//title/tt0103064/,2h 17m,Action
Back to the Future,1985,8.5,https://www.imdb.com//title/tt0088763/,1h 56m,Adventure
Sen to Chihiro no kamikakushi,2001,8.5,https://www.imdb.com//title/tt0245429/,2h 5m,Animation
Psycho,1960,8.5,https://www.imdb.com//title/tt0054215/,1h 49m,Horror
The Pianist,2002,8.5,https://www.imdb.com//title/tt0253474/,2h 30m,Biography
Léon,1994,8.5,https://www.imdb.com//title/tt0110413/,1h 50m,Action
Gisaengchung,2019,8.5,https://www.imdb.com//title/tt6751668/,2h 12m,Comedy
The Lion King,1994,8.5,https://www.imdb.com//title/tt0110357/,1h 28m,Animation
Gladiator,2000,8.5,https://www.imdb.com//title/tt0172495/,2h 35m,Action
American History X,1998,8.5,https://www.imdb.com//title/tt0120586/,1h 59m,Crime
The Usual Suspects,1995,8.5,https://www.imdb.com//title/tt0114814/,1h 46m,Crime
The Departed,2006,8.5,https://www.imdb.com//title/tt0407887/,2h 31m,Crime
The Prestige,2006,8.5,https://www.imdb.com//title/tt0482571/,2h 10m,Drama
Casablanca,1942,8.5,https://www.imdb.com//title/tt0034583/,1h 42m,Drama
Top Gun: Maverick,2022,8.5,https://www.imdb.com//title/tt1745960/,2h 10m,Action
Whiplash,2014,8.5,https://www.imdb.com//title/tt2582802/,1h 46m,Drama
The Intouchables,2011,8.5,https://www.imdb.com//title/tt1675434/,1h 52m,Biography
Modern Times,1936,8.4,https://www.imdb.com//title/tt0027977/,1h 27m,Comedy
Seppuku,1962,8.4,https://www.imdb.com//title/tt0056058/,2h 13m,Action
Once Upon a Time in the West,1968,8.4,https://www.imdb.com//title/tt0064116/,2h 45m,Western
Hotaru no haka,1988,8.4,https://www.imdb.com//title/tt0095327/,1h 29m,Animation
Rear Window,1954,8.4,https://www.imdb.com//title/tt0047396/,1h 52m,Mystery
Alien,1979,8.4,https://www.imdb.com//title/tt0078748/,1h 57m,Horror
City Lights,1931,8.4,https://www.imdb.com//title/tt0021749/,1h 27m,Comedy
Nuovo Cinema Paradiso,1988,8.4,https://www.imdb.com//title/tt0095765/,2h 35m,Drama
Memento,2000,8.4,https://www.imdb.com//title/tt0209144/,1h 53m,Mystery
Apocalypse Now,1979,8.4,https://www.imdb.com//title/tt0078788/,2h 27m,Drama
Raiders of the Lost Ark,1981,8.4,https://www.imdb.com//title/tt0082971/,1h 55m,Action
Django Unchained,2012,8.4,https://www.imdb.com//title/tt1853728/,2h 45m,Drama
WALL·E,2008,8.4,https://www.imdb.com//title/tt0910970/,1h 38m,Animation
The Lives of Others,2006,8.4,https://www.imdb.com//title/tt0405094/,2h 17m,Drama
Sunset Blvd.,1950,8.4,https://www.imdb.com//title/tt0043014/,1h 50m,Drama
Paths of Glory,1957,8.4,https://www.imdb.com//title/tt0050825/,1h 28m,Drama
The Shining,1980,8.4,https://www.imdb.com//title/tt0081505/,2h 26m,Drama
The Great Dictator,1940,8.4,https://www.imdb.com//title/tt0032553/,2h 5m,Comedy
Witness for the Prosecution,1957,8.4,https://www.imdb.com//title/tt0051201/,1h 56m,Crime
Avengers: Infinity War,2018,8.4,https://www.imdb.com//title/tt4154756/,2h 29m,Action
Aliens,1986,8.3,https://www.imdb.com//title/tt0090605/,2h 17m,Action
American Beauty,1999,8.3,https://www.imdb.com//title/tt0169547/,2h 2m,Drama
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.3,https://www.imdb.com//title/tt0057012/,1h 35m,Comedy
The Dark Knight Rises,2012,8.3,https://www.imdb.com//title/tt1345836/,2h 44m,Action
Spider-Man: Into the Spider-Verse,2018,8.3,https://www.imdb.com//title/tt4633694/,1h 57m,Animation
Joker,2019,8.3,https://www.imdb.com//title/tt7286456/,2h 2m,Crime
Oldeuboi,2003,8.3,https://www.imdb.com//title/tt0364569/,2h,Action
Braveheart,1995,8.3,https://www.imdb.com//title/tt0112573/,2h 58m,Biography
Amadeus,1984,8.3,https://www.imdb.com//title/tt0086879/,2h 40m,Biography
Toy Story,1995,8.3,https://www.imdb.com//title/tt0114709/,1h 21m,Animation
Coco,2017,8.3,https://www.imdb.com//title/tt2380307/,1h 45m,Animation
Das Boot,1981,8.3,https://www.imdb.com//title/tt0082096/,2h 29m,Drama
Inglourious Basterds,2009,8.3,https://www.imdb.com//title/tt0361748/,2h 33m,Adventure
Mononoke-hime,1997,8.3,https://www.imdb.com//title/tt0119698/,2h 14m,Animation
Avengers: Endgame,2019,8.3,https://www.imdb.com//title/tt4154796/,3h 1m,Action
Once Upon a Time in America,1984,8.3,https://www.imdb.com//title/tt0087843/,3h 49m,Crime
Good Will Hunting,1997,8.3,https://www.imdb.com//title/tt0119217/,2h 6m,Drama
Requiem for a Dream,2000,8.3,https://www.imdb.com//title/tt0180093/,1h 42m,Drama
Toy Story 3,2010,8.3,https://www.imdb.com//title/tt0435761/,1h 43m,Animation
Kimi no na wa.,2016,8.3,https://www.imdb.com//title/tt5311514/,1h 46m,Animation
Singin' in the Rain,1952,8.3,https://www.imdb.com//title/tt0045152/,1h 43m,Comedy
3 Idiots,2009,8.3,https://www.imdb.com//title/tt1187043/,2h 50m,Comedy
